trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,16,7.077812865122351,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-29.720955301046356,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",30,9,-127.26568563961143,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",30,0,-134.21600498766253,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-133.54983968320624,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-122.68266391992802,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,-65.35447460034997,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",30,0,-93.275135429219,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,0,-72.37072556224247,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,5,-30.28777377551332,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,6,-13.110313031578478,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,0,-110.59486921352439,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-36.325533766549356,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",20,12,-30.39449195237801,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",30,0,-81.44236344413757,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,0,-130.48823477432504,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,0,-139.86273805996095,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,0,-86.59801927113006,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
